# power spectrum of delta
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  5.720549e-01   1.740392e+00   2.883323e-04   7.211636e-02   720
  5.733187e-01   1.980411e+00   2.281230e-04   9.778884e-02   720
  5.747197e-01   1.344403e+00   0.000000e+00   1.174158e-01   144
  5.754570e-01   1.766222e+00   2.941188e-04   7.492161e-02   720
  5.765058e-01   1.701259e+00   1.763594e-04   8.543909e-02   384
  5.778188e-01   1.922915e+00   1.955038e-04   7.873772e-02   672
  5.790646e-01   1.972119e+00   3.423056e-04   1.408695e-01   336
  5.796596e-01   1.635365e+00   0.000000e+00   1.046215e-01   288
  5.811165e-01   1.781554e+00   2.709120e-04   7.295871e-02   776
  5.824653e-01   1.796757e+00   2.318063e-04   8.326246e-02   720
  5.835980e-01   1.518626e+00   1.867370e-04   7.803330e-02   432
  5.845040e-01   1.836813e+00   2.662171e-04   8.872667e-02   504
  5.855119e-01   2.012302e+00   1.865229e-04   9.952296e-02   528
  5.869222e-01   2.010008e+00   2.541266e-04   1.130882e-01   438
  5.880825e-01   1.920384e+00   2.957801e-04   8.724619e-02   624
  5.889568e-01   1.900956e+00   3.622906e-04   1.134894e-01   312
  5.901587e-01   1.856813e+00   1.951931e-04   8.259008e-02   696
  5.914016e-01   1.825143e+00   1.766144e-04   8.905255e-02   552
  5.926943e-01   1.799282e+00   1.366406e-04   8.098620e-02   516
  5.934940e-01   2.056127e+00   2.729293e-04   9.630420e-02   528
  5.944675e-01   1.754177e+00   1.774934e-04   8.599416e-02   528
  5.958504e-01   1.844189e+00   2.340778e-04   8.077214e-02   864
  5.967890e-01   1.777785e+00   3.206384e-04   1.167645e-01   408
  5.977287e-01   1.993012e+00   3.176732e-04   1.395379e-01   192
  5.990604e-01   1.870649e+00   2.628898e-04   7.415345e-02   720
  6.001846e-01   2.075047e+00   2.423973e-04   9.070508e-02   696
  6.015205e-01   1.826578e+00   2.617914e-04   8.763538e-02   720
  6.027427e-01   1.914752e+00   3.548268e-04   9.719953e-02   432
  6.034554e-01   2.023716e+00   2.088649e-04   1.327393e-01   264
  6.047379e-01   1.805921e+00   2.884332e-04   8.444454e-02   672
  6.058849e-01   1.682566e+00   2.953113e-04   8.875466e-02   600
  6.072461e-01   1.795689e+00   1.729045e-04   1.117656e-01   270
  6.079323e-01   1.665305e+00   2.602694e-04   8.011417e-02   528
  6.090231e-01   1.969028e+00   1.782233e-04   7.950751e-02   840
  6.105187e-01   2.123889e+00   3.407949e-04   9.067477e-02   888
  6.119006e-01   1.752791e+00   2.539173e-04   7.319716e-02   744
  6.130685e-01   1.784123e+00   1.304764e-04   8.956364e-02   456
  6.136494e-01   2.536444e+00   1.783041e-04   1.356749e-01   360
  6.146434e-01   1.823839e+00   1.544904e-04   9.684423e-02   384
  6.161685e-01   2.046588e+00   2.478012e-04   8.614017e-02   816
  6.173129e-01   2.084277e+00   3.595249e-04   9.060054e-02   824
  6.187038e-01   1.601107e+00   1.671243e-04   8.054542e-02   360
  6.194487e-01   1.944731e+00   2.466127e-04   8.638184e-02   624
  6.204737e-01   2.341971e+00   1.666475e-04   1.299524e-01   360
  6.218393e-01   1.935802e+00   2.266896e-04   7.831400e-02   876
  6.230726e-01   1.893313e+00   2.692394e-04   8.116527e-02   696
  6.243164e-01   1.604022e+00   1.738571e-04   8.909887e-02   336
  6.249685e-01   2.038714e+00   1.736618e-04   1.064632e-01   504
  6.260455e-01   1.870354e+00   1.751666e-04   9.282889e-02   672
  6.276432e-01   2.018390e+00   3.487160e-04   9.134790e-02   720
  6.287513e-01   2.032230e+00   2.634177e-04   9.968999e-02   774
  6.299744e-01   2.451579e+00   1.507735e-04   1.686213e-01   384
  6.306149e-01   1.937753e+00   2.901529e-04   1.072324e-01   528
  6.316091e-01   2.241632e+00   2.765319e-04   1.157483e-01   744
  6.332082e-01   2.107433e+00   2.280801e-04   9.065336e-02   768
  6.342699e-01   2.077898e+00   2.560371e-04   1.271833e-01   552
  6.355947e-01   1.992551e+00   2.790515e-04   8.040788e-02   696
  6.365801e-01   2.430773e+00   3.390961e-04   1.550404e-01   408
  6.373624e-01   2.094604e+00   1.464922e-04   1.067785e-01   504
  6.386025e-01   2.055293e+00   2.631678e-04   7.054741e-02   888
  6.398228e-01   1.953723e+00   2.735074e-04   8.996241e-02   648
  6.410912e-01   2.005294e+00   2.711630e-04   1.038126e-01   648
  6.422845e-01   1.950880e+00   2.923802e-04   8.826735e-02   792
  6.435486e-01   2.116873e+00   4.277722e-04   9.772139e-02   600
  6.444800e-01   1.800893e+00   2.899046e-04   9.271209e-02   456
  6.454604e-01   2.228462e+00   1.412872e-04   9.821568e-02   648
  6.467196e-01   2.062832e+00   2.755305e-04   8.171770e-02   936
  6.480791e-01   2.307942e+00   1.692113e-04   1.335809e-01   384
  6.492625e-01   1.810143e+00   1.423784e-08   2.070822e-01   198
  6.501758e-01   2.144562e+00   4.293034e-04   6.635918e-02   1224
  6.511610e-01   2.237792e+00   3.126651e-04   1.345406e-01   420
  6.523261e-01   2.337934e+00   3.025944e-04   1.059051e-01   792
  6.534654e-01   2.038374e+00   2.502197e-04   9.111136e-02   680
  6.547656e-01   2.186024e+00   2.297635e-04   1.137545e-01   600
  6.558117e-01   2.409839e+00   3.332201e-04   1.080142e-01   840
  6.572086e-01   1.790195e+00   1.573311e-04   9.450310e-02   432
  6.577423e-01   2.603649e+00   1.474399e-04   1.303355e-01   720
  6.589028e-01   2.073572e+00   2.952964e-04   7.075330e-02   960
  6.603461e-01   2.131307e+00   2.632351e-04   1.151794e-01   528
  6.614009e-01   1.952847e+00   2.690765e-04   8.952899e-02   624
  6.626564e-01   2.269447e+00   2.114923e-04   1.024235e-01   816
  6.639025e-01   2.005916e+00   3.478036e-04   9.027269e-02   696
  6.652796e-01   1.877648e+00   2.349244e-08   1.397437e-01   240
  6.657974e-01   1.918845e+00   2.051081e-04   9.395746e-02   672
  6.669532e-01   2.080303e+00   3.665574e-04   8.800936e-02   864
  6.682496e-01   1.856714e+00   2.812733e-04   7.508245e-02   816
  6.694181e-01   1.928300e+00   1.609912e-04   9.117066e-02   648
  6.706767e-01   2.707607e+00   1.645623e-04   1.179523e-01   843
  6.717452e-01   2.108917e+00   2.960880e-04   9.671706e-02   780
  6.730185e-01   2.248042e+00   1.588753e-04   2.311313e-01   216
  6.738038e-01   2.271544e+00   3.831105e-04   8.386716e-02   1056
  6.750118e-01   2.038156e+00   3.134274e-04   1.526965e-01   228
  6.761301e-01   2.281287e+00   3.902249e-04   9.862687e-02   924
  6.772783e-01   2.439438e+00   1.447516e-04   1.132355e-01   696
  6.784941e-01   2.150106e+00   2.576163e-04   8.349814e-02   996
  6.797379e-01   2.024014e+00   1.520916e-04   9.730051e-02   576
  6.810320e-01   2.163697e+00   2.347432e-04   9.683769e-02   552
  6.819753e-01   2.490732e+00   2.802752e-04   1.455073e-01   516
  6.829327e-01   2.345094e+00   4.075783e-04   1.006329e-01   744
  6.840265e-01   2.091626e+00   1.999414e-04   9.813844e-02   576
  6.849781e-01   2.196053e+00   2.057904e-04   9.158589e-02   792
  6.863303e-01   1.982997e+00   2.352566e-04   9.344379e-02   792
  6.873212e-01   2.263401e+00   2.537217e-04   1.033658e-01   720
  6.886614e-01   2.419043e+00   2.891844e-04   1.203947e-01   656
  6.899172e-01   2.093329e+00   3.157744e-04   8.073570e-02   816
  6.912045e-01   2.185052e+00   1.702602e-04   1.194118e-01   492
  6.919363e-01   2.094240e+00   2.449314e-04   1.075069e-01   552
  6.933096e-01   2.060797e+00   4.259058e-04   8.264223e-02   780
  6.942015e-01   2.155045e+00   2.616289e-04   1.042158e-01   528
  6.951624e-01   2.004604e+00   3.054005e-04   9.428455e-02   600
  6.965787e-01   2.557509e+00   2.538120e-04   9.139839e-02   900
  6.975549e-01   2.242400e+00   1.405147e-04   1.116529e-01   696
  6.988979e-01   2.154921e+00   3.552967e-04   1.002742e-01   696
  7.001972e-01   2.014026e+00   1.441405e-04   9.458573e-02   552
  7.012898e-01   1.879860e+00   1.676221e-04   7.974631e-02   708
  7.024344e-01   2.094118e+00   2.767536e-04   7.993021e-02   876
  7.036253e-01   2.276589e+00   1.469507e-04   1.709231e-01   216
  7.044246e-01   2.077870e+00   4.019301e-04   7.481637e-02   1032
  7.056214e-01   2.154995e+00   4.475047e-04   1.190243e-01   600
  7.068637e-01   1.730972e+00   2.135326e-04   8.299944e-02   600
  7.078114e-01   2.115021e+00   3.770786e-04   9.431698e-02   528
  7.089316e-01   2.123822e+00   2.069996e-04   9.920179e-02   732
  7.101116e-01   2.098679e+00   1.528505e-04   1.257657e-01   336
  7.114699e-01   2.067094e+00   2.178422e-04   7.020924e-02   912
  7.124851e-01   2.093551e+00   2.186476e-04   8.958803e-02   624
  7.135942e-01   2.135919e+00   1.842497e-04   8.289465e-02   768
  7.148888e-01   2.117726e+00   3.324228e-04   8.349681e-02   792
  7.161595e-01   2.027300e+00   1.648015e-04   9.155088e-02   660
  7.170636e-01   2.175395e+00   2.428615e-04   1.139889e-01   504
  7.179987e-01   1.867368e+00   3.967892e-04   8.945643e-02   480
  7.194001e-01   1.965612e+00   3.669783e-04   6.961429e-02   912
  7.204975e-01   1.977856e+00   4.086872e-04   1.008246e-01   432
  7.215338e-01   2.119837e+00   2.426689e-04   9.937029e-02   564
  7.224540e-01   2.001052e+00   2.322675e-04   1.001585e-01   600
  7.237493e-01   2.138491e+00   3.237589e-04   7.508621e-02   876
  7.247223e-01   2.358832e+00   1.455718e-04   1.578016e-01   264
  7.260636e-01   2.044051e+00   2.824665e-04   9.574757e-02   560
  7.271417e-01   1.970211e+00   1.919421e-04   7.059063e-02   840
  7.284504e-01   2.038202e+00   2.959193e-04   7.094390e-02   1008
  7.296606e-01   2.104638e+00   1.323744e-04   1.082580e-01   456
  7.307658e-01   2.400390e+00   1.714723e-04   1.115559e-01   576
  7.317876e-01   1.834013e+00   2.634856e-04   7.484978e-02   612
  7.331349e-01   2.015089e+00   2.353354e-04   7.863926e-02   780
  7.342341e-01   2.122626e+00   2.696836e-04   9.199030e-02   648
  7.353591e-01   1.936094e+00   1.256760e-04   1.102960e-01   312
  7.360783e-01   1.886069e+00   3.193221e-04   9.154686e-02   528
  7.373241e-01   1.776358e+00   4.170188e-04   6.305739e-02   720
  7.385155e-01   1.895699e+00   4.183247e-04   9.188979e-02   576
  7.399599e-01   2.050711e+00   3.608590e-04   1.227230e-01   444
  7.408586e-01   1.911107e+00   3.538864e-04   6.686807e-02   996
  7.419599e-01   1.787612e+00   2.956016e-04   8.362661e-02   432
  7.430008e-01   2.148900e+00   3.236256e-04   1.062218e-01   504
  7.438999e-01   1.916453e+00   1.459075e-04   9.068986e-02   504
  7.451803e-01   2.124854e+00   2.871477e-04   7.783525e-02   876
  7.463388e-01   1.869192e+00   3.304796e-04   8.591648e-02   504
  7.475452e-01   1.948072e+00   2.107626e-04   7.877784e-02   696
  7.485421e-01   1.977146e+00   1.801799e-04   9.860892e-02   492
  7.498987e-01   1.997757e+00   2.579363e-04   1.012878e-01   432
  7.509034e-01   2.022061e+00   2.415290e-04   8.189287e-02   768
  7.520944e-01   2.080896e+00   3.008569e-04   9.269683e-02   648
  7.532317e-01   2.009421e+00   1.962768e-04   1.167087e-01   456
  7.545385e-01   1.713239e+00   2.699125e-04   8.130118e-02   552
  7.554460e-01   2.136885e+00   1.849982e-04   9.453148e-02   648
  7.566950e-01   2.136278e+00   3.015367e-04   8.749647e-02   840
  7.579151e-01   1.865174e+00   1.437965e-04   9.769395e-02   432
  7.591366e-01   2.061244e+00   1.761262e-04   9.857990e-02   600
  7.599862e-01   1.982629e+00   1.876509e-04   9.757227e-02   432
  7.614131e-01   1.903715e+00   1.868247e-04   8.838139e-02   560
  7.623795e-01   1.999827e+00   2.957239e-04   7.818695e-02   840
  7.635896e-01   1.844758e+00   1.751616e-04   8.376276e-02   504
  7.645506e-01   1.680395e+00   3.574943e-04   7.110274e-02   696
  7.659053e-01   2.382517e+00   1.952507e-04   1.337067e-01   384
  7.669605e-01   1.871314e+00   2.860193e-04   7.648244e-02   576
  7.682367e-01   1.771175e+00   1.765168e-04   9.080203e-02   360
  7.692654e-01   1.983585e+00   2.628763e-04   8.103249e-02   828
  7.703752e-01   1.914421e+00   2.341402e-04   1.033935e-01   372
  7.713920e-01   1.947789e+00   3.575770e-04   9.374113e-02   576
  7.727390e-01   1.748804e+00   1.497528e-04   7.356523e-02   636
  7.736987e-01   2.285068e+00   2.886848e-04   9.810240e-02   648
  7.749969e-01   1.965727e+00   2.346692e-04   9.095674e-02   576
  7.759289e-01   1.980869e+00   3.785461e-04   9.179610e-02   528
  7.771683e-01   1.872969e+00   1.618441e-04   9.656666e-02   360
  7.781942e-01   1.974920e+00   3.723021e-04   7.953172e-02   672
  7.795338e-01   2.158436e+00   1.906993e-04   8.778232e-02   804
  7.806488e-01   1.971406e+00   2.103641e-04   1.009322e-01   408
  7.818822e-01   2.084797e+00   1.300279e-04   9.904296e-02   384
  7.827127e-01   1.808623e+00   2.975538e-04   9.164357e-02   480
  7.838841e-01   1.885386e+00   1.922633e-04   1.039349e-01   432
  7.850075e-01   2.213032e+00   3.543003e-04   9.941130e-02   648
  7.863374e-01   1.904511e+00   2.198417e-04   8.072145e-02   624
  7.873102e-01   2.066934e+00   1.999645e-04   1.047083e-01   456
  7.886385e-01   2.019291e+00   2.731694e-04   9.221619e-02   588
  7.895286e-01   1.871151e+00   1.742809e-04   8.197064e-02   600
  7.908283e-01   2.226527e+00   2.718355e-04   9.451829e-02   708
  7.918549e-01   2.075643e+00   1.712511e-04   1.157412e-01   360
  7.929893e-01   2.315246e+00   1.968577e-04   1.078773e-01   552
  7.940768e-01   1.766946e+00   1.381003e-04   1.228196e-01   288
  7.951809e-01   2.089091e+00   2.596664e-04   1.036691e-01   528
  7.962181e-01   2.149026e+00   1.751829e-04   9.984276e-02   456
  7.973771e-01   2.160856e+00   3.106374e-04   9.331760e-02   608
  7.985427e-01   1.767685e+00   1.502898e-04   8.138012e-02   504
  7.998164e-01   1.810406e+00   3.226637e-04   7.973869e-02   540
  8.008151e-01   2.372419e+00   3.463704e-04   1.372817e-01   360
  8.018917e-01   2.149150e+00   1.568542e-04   1.016590e-01   540
  8.028439e-01   2.064263e+00   1.346780e-04   9.602836e-02   576
  8.042285e-01   2.054256e+00   3.122726e-04   8.739127e-02   588
  8.055450e-01   2.024287e+00   4.308419e-04   8.392903e-02   672
  8.066761e-01   1.980066e+00   3.292961e-04   9.482336e-02   552
  8.075877e-01   1.785079e+00   3.294626e-04   1.484670e-01   144
  8.087511e-01   2.023184e+00   2.799123e-04   9.794387e-02   600
  8.098542e-01   1.816909e+00   3.507912e-04   9.886154e-02   504
  8.110784e-01   1.916259e+00   3.603334e-04   1.072990e-01   336
  8.123661e-01   2.066335e+00   4.050163e-04   8.316864e-02   600
  8.135194e-01   1.635313e+00   2.613843e-04   6.851103e-02   636
  8.147641e-01   1.985437e+00   2.101554e-04   1.291242e-01   384
  8.156368e-01   2.374640e+00   2.931419e-04   1.177476e-01   504
  8.168946e-01   2.177211e+00   1.230275e-04   1.364448e-01   240
  8.178874e-01   2.327009e+00   2.890092e-04   9.734693e-02   744
  8.190784e-01   2.119031e+00   1.973493e-04   9.115160e-02   648
  8.201369e-01   3.260451e+00   1.310064e-04   2.844221e-01   120
  8.213775e-01   2.168573e+00   2.057940e-04   9.514932e-02   564
  8.223149e-01   2.309322e+00   3.232119e-04   1.119829e-01   432
  8.235661e-01   1.951792e+00   2.508763e-04   9.817851e-02   480
  8.245082e-01   1.975361e+00   1.846513e-04   9.684741e-02   456
  8.256202e-01   2.126939e+00   3.055706e-04   1.172755e-01   444
  8.268821e-01   1.815993e+00   4.675392e-04   8.635557e-02   528
  8.279907e-01   1.882796e+00   3.472317e-04   1.196327e-01   264
  8.290664e-01   2.273344e+00   3.558608e-04   1.148197e-01   444
  8.305136e-01   2.141222e+00   3.897932e-04   8.493644e-02   696
  8.317148e-01   2.312337e+00   2.084744e-04   1.237952e-01   384
  8.325934e-01   2.057568e+00   2.634249e-04   1.031498e-01   432
  8.339598e-01   2.048891e+00   1.820143e-04   9.645005e-02   488
  8.348470e-01   2.284377e+00   2.743182e-04   1.272482e-01   480
  8.361333e-01   2.147308e+00   3.059215e-04   1.053006e-01   480
  8.371295e-01   2.310934e+00   1.283553e-04   1.811437e-01   240
  8.382605e-01   2.358047e+00   2.998278e-04   1.156804e-01   600
  8.393273e-01   1.916770e+00   2.612693e-04   1.239543e-01   288
  8.404633e-01   2.080041e+00   2.513219e-04   1.096372e-01   480
  8.416137e-01   1.911068e+00   4.470568e-04   9.486968e-02   504
  8.427464e-01   2.231710e+00   1.918152e-04   1.600990e-01   216
  8.441910e-01   2.337425e+00   3.140320e-04   1.184946e-01   504
  8.453161e-01   2.021495e+00   2.525773e-04   1.003037e-01   456
  8.465476e-01   2.408843e+00   1.448574e-04   1.350449e-01   384
  8.473633e-01   2.289481e+00   2.940081e-04   1.106355e-01   480
  8.485224e-01   1.843961e+00   2.581721e-04   8.478839e-02   504
  8.495963e-01   2.244582e+00   1.637682e-04   1.398117e-01   312
  8.507536e-01   2.246291e+00   2.639069e-04   1.174552e-01   492
  8.517779e-01   1.885488e+00   2.473513e-04   1.143277e-01   312
  8.530964e-01   2.079911e+00   4.018026e-04   1.011884e-01   576
  8.542572e-01   2.123241e+00   3.708963e-04   1.046851e-01   336
  8.552213e-01   1.839315e+00   2.855730e-04   1.265996e-01   240
  8.565577e-01   2.371765e+00   3.785974e-04   1.150310e-01   468
  8.577117e-01   1.859093e+00   2.370567e-04   1.508802e-01   192
  8.589195e-01   2.156904e+00   2.377633e-04   1.243694e-01   324
  8.598047e-01   2.202957e+00   1.725647e-04   1.028410e-01   600
  8.610110e-01   2.361175e+00   2.799685e-04   1.139657e-01   456
  8.619069e-01   2.358012e+00   1.259298e-04   1.486930e-01   336
  8.633917e-01   2.219743e+00   3.770695e-04   1.020250e-01   612
  8.644719e-01   1.625941e+00   3.164532e-04   1.529891e-01   144
  8.654935e-01   2.411356e+00   3.693821e-04   9.804335e-02   552
  8.668827e-01   2.142215e+00   1.454672e-04   1.434219e-01   264
  8.676676e-01   2.337477e+00   3.367937e-04   1.393498e-01   336
  8.689058e-01   2.115180e+00   2.225417e-04   1.242862e-01   384
  8.699797e-01   2.333184e+00   1.252690e-04   1.807110e-01   216
  8.711683e-01   1.931041e+00   2.655962e-04   1.046026e-01   344
  8.722521e-01   2.127578e+00   3.962819e-04   1.167442e-01   408
  8.735729e-01   2.155594e+00   3.045168e-04   1.335614e-01   264
  8.747433e-01   2.040015e+00   4.245115e-04   8.380272e-02   612
  8.759127e-01   2.423450e+00   2.184861e-04   1.493260e-01   408
  8.771153e-01   2.112271e+00   2.188001e-04   1.080561e-01   444
  8.779988e-01   2.847700e+00   1.223733e-04   2.580702e-01   120
  8.791827e-01   2.348379e+00   3.380949e-04   1.503510e-01   336
  8.800614e-01   1.936362e+00   1.174866e-04   1.359132e-01   288
  8.812488e-01   2.431334e+00   3.656205e-04   1.110934e-01   552
  8.828813e-01   2.293597e+00   1.957704e-08   2.900403e-01   72
  8.837207e-01   2.350024e+00   3.631543e-04   1.173175e-01   504
  8.847012e-01   2.103025e+00   1.168595e-04   1.612146e-01   216
  8.859716e-01   2.394883e+00   2.086446e-04   1.509165e-01   312
  8.871120e-01   2.133217e+00   2.375747e-04   1.397585e-01   336
  8.881989e-01   2.208619e+00   3.293052e-04   1.671049e-01   204
  8.892814e-01   2.351889e+00   3.827027e-04   1.195593e-01   504
  8.904295e-01   2.730823e+00   3.644429e-04   1.841795e-01   396
  8.915335e-01   2.410077e+00   3.342132e-04   1.511499e-01   312
  8.928719e-01   3.074676e+00   2.042400e-04   1.857242e-01   216
  8.938150e-01   2.278953e+00   1.108450e-04   2.014367e-01   168
  8.949610e-01   2.323213e+00   2.798897e-04   1.013514e-01   588
  8.962689e-01   2.311017e+00   3.799175e-04   1.970116e-01   240
  8.972850e-01   2.102690e+00   3.355308e-04   1.660697e-01   264
  8.984767e-01   2.380722e+00   4.149529e-04   1.561101e-01   288
  8.995339e-01   2.237676e+00   2.072102e-04   1.465340e-01   288
  9.008740e-01   2.121713e+00   1.946034e-04   1.279046e-01   288
  9.017763e-01   2.245740e+00   2.254318e-04   1.757816e-01   192
  9.029115e-01   2.120469e+00   2.398820e-04   1.370163e-01   264
  9.039929e-01   2.616100e+00   3.945727e-04   1.463159e-01   372
  9.051567e-01   2.966490e+00   4.261555e-04   2.092746e-01   360
  9.065772e-01   3.118196e+00   1.803530e-04   3.243197e-01   144
  9.073113e-01   2.151225e+00   2.505025e-04   1.436942e-01   296
  9.084702e-01   2.233369e+00   2.699035e-04   1.729439e-01   288
  9.097970e-01   2.537865e+00   4.033639e-04   1.392900e-01   480
  9.109414e-01   2.265715e+00   3.351569e-04   1.691470e-01   192
  9.120543e-01   2.294648e+00   3.595015e-04   1.788613e-01   192
  9.130658e-01   2.148985e+00   2.291145e-04   1.303000e-01   288
  9.144726e-01   1.933543e+00   1.994411e-04   1.701668e-01   108
  9.151811e-01   2.842933e+00   1.917382e-04   2.284819e-01   240
  9.164324e-01   2.121738e+00   3.576920e-04   1.234147e-01   384
  9.177178e-01   2.799243e+00   4.363437e-04   3.126140e-01   108
  9.188545e-01   2.912248e+00   2.558364e-04   1.802424e-01   348
  9.200497e-01   2.520996e+00   2.670009e-04   1.916881e-01   312
  9.211172e-01   2.362251e+00   2.594474e-04   2.220645e-01   96
  9.220989e-01   2.509251e+00   3.454074e-04   1.789388e-01   384
  9.231983e-01   2.445233e+00   2.375703e-04   2.576591e-01   144
  9.242737e-01   2.359381e+00   3.650373e-04   1.511372e-01   408
  9.256105e-01   2.033735e+00   1.628324e-04   2.085000e-01   144
  9.268733e-01   2.318831e+00   3.130471e-04   1.545328e-01   192
  9.276223e-01   2.850881e+00   3.523403e-04   2.894407e-01   144
  9.288431e-01   2.039388e+00   2.864656e-04   1.411175e-01   144
  9.299949e-01   2.535536e+00   3.501074e-04   1.679529e-01   336
  9.314055e-01   2.089076e+00   2.590351e-04   1.192185e-01   240
  9.322999e-01   2.488348e+00   1.176255e-04   2.505510e-01   96
  9.335474e-01   2.431483e+00   3.449390e-04   1.427422e-01   372
  9.348094e-01   2.479325e+00   4.102976e-04   2.392730e-01   132
  9.359179e-01   1.803194e+00   2.538872e-04   1.226525e-01   264
  9.369095e-01   2.761501e+00   1.949738e-04   2.844681e-01   168
  9.379679e-01   2.440817e+00   3.117257e-04   1.920752e-01   216
  9.389028e-01   2.298266e+00   1.907177e-04   1.971866e-01   216
  9.402644e-01   1.756923e+00   3.498876e-04   1.765878e-01   96
  9.414999e-01   3.062573e+00   2.282697e-04   3.317790e-01   120
  9.426329e-01   2.723558e+00   2.901950e-04   2.127675e-01   216
  9.435662e-01   2.186712e+00   1.268162e-04   1.584171e-01   200
  9.448020e-01   2.402485e+00   3.282727e-04   1.455278e-01   288
  9.463870e-01   1.993345e+00   8.637492e-05   1.823032e-01   144
  9.470544e-01   2.318682e+00   2.687934e-04   2.325411e-01   168
  9.484173e-01   2.400193e+00   3.025020e-04   2.505898e-01   159
  9.494812e-01   2.630489e+00   3.173973e-04   1.911791e-01   174
  9.505108e-01   2.678560e+00   2.878048e-04   2.841938e-01   144
  9.518590e-01   2.412008e+00   1.661865e-04   1.752330e-01   222
  9.527607e-01   2.520633e+00   1.676969e-04   1.997057e-01   168
  9.543181e-01   3.853610e+00   3.678236e-04   6.936446e-01   30
  9.549614e-01   1.665929e+00   3.247612e-04   1.881243e-01   72
  9.561731e-01   2.503497e+00   2.898455e-04   1.512728e-01   258
  9.575053e-01   2.732249e+00   1.815377e-04   1.993730e-01   264
  9.581715e-01   1.915435e+00   0.000000e+00   2.545247e-01   72
  9.595596e-01   2.177127e+00   3.598154e-04   1.588869e-01   174
  9.608164e-01   2.520086e+00   3.831369e-04   2.117459e-01   168
  9.618269e-01   1.767534e+00   1.198844e-08   2.701157e-01   48
  9.629116e-01   2.589794e+00   2.163664e-04   2.128183e-01   150
  9.641694e-01   2.653010e+00   3.980216e-04   2.074721e-01   168
  9.654305e-01   2.760228e+00   2.424563e-04   2.422727e-01   144
  9.665902e-01   3.000004e+00   2.265094e-04   4.049217e-01   102
  9.674541e-01   2.270091e+00   3.352727e-04   3.018077e-01   96
  9.688246e-01   2.490939e+00   3.327357e-04   3.231304e-01   120
  9.698396e-01   2.331531e+00   3.568677e-04   1.927847e-01   168
  9.709374e-01   2.264262e+00   2.635186e-04   2.150460e-01   126
  9.718728e-01   2.533615e+00   1.987457e-04   2.713880e-01   168
  9.731615e-01   2.242364e+00   3.186890e-04   3.288698e-01   72
  9.742877e-01   2.375842e+00   3.990696e-04   1.633306e-01   168
  9.752743e-01   2.372430e+00   1.094046e-04   3.220193e-01   78
  9.766261e-01   1.728945e+00   1.796342e-04   2.223620e-01   60
  9.777146e-01   3.031198e+00   2.913957e-04   2.559093e-01   96
  9.788436e-01   2.323400e+00   3.535845e-04   1.907523e-01   168
  9.799046e-01   2.328121e+00   2.237345e-04   2.400126e-01   86
  9.810179e-01   1.598686e+00   1.999656e-04   1.381129e-01   120
  9.826135e-01   2.743660e+00   1.426020e-04   2.568985e-01   168
  9.834741e-01   1.921102e+00   0.000000e+00   3.394457e-01   48
  9.846330e-01   2.512148e+00   2.598054e-04   2.340118e-01   120
  9.852989e-01   2.351388e+00   1.895385e-04   2.512618e-01   126
  9.869246e-01   2.044763e+00   3.333454e-04   1.952760e-01   96
  9.879797e-01   2.837936e+00   9.612037e-05   2.650816e-01   96
  9.888118e-01   3.025174e+00   0.000000e+00   3.979675e-01   72
  9.905847e-01   4.014343e+00   1.198844e-08   1.174492e+00   24
  9.916911e-01   2.220759e+00   1.978135e-04   1.962224e-01   120
  9.925543e-01   2.513244e+00   2.885490e-04   2.028775e-01   126
  9.935140e-01   2.339670e+00   2.405447e-04   2.161001e-01   96
  9.946355e-01   2.165084e+00   4.157314e-04   2.233436e-01   72
  9.958843e-01   2.461720e+00   1.798178e-04   2.299022e-01   144
  9.969115e-01   2.333068e+00   1.037147e-04   2.552062e-01   72
  9.979377e-01   1.862782e+00   2.071553e-04   2.335094e-01   54
  9.988408e-01   2.390879e+00   1.825532e-04   2.659598e-01   108
  1.000718e+00   2.347677e+00   1.789493e-04   2.655171e-01   72
  1.001302e+00   3.279250e+00   1.032599e-04   3.697741e-01   72
  1.002688e+00   1.990746e+00   2.076458e-08   3.728870e-01   24
  1.004000e+00   2.250237e+00   2.184508e-04   3.063639e-01   48
  1.004796e+00   2.349429e+00   1.664031e-04   3.396405e-01   102
  1.005995e+00   2.578997e+00   3.763347e-04   2.241718e-01   168
  1.007561e+00   2.550467e+00   2.052441e-04   3.063876e-01   72
  1.008142e+00   1.979798e+00   0.000000e+00   3.062043e-01   48
  1.009359e+00   2.599093e+00   3.530324e-04   2.629742e-01   120
  1.010966e+00   1.766576e+00   2.169455e-04   1.632264e-01   96
  1.012484e+00   2.899469e+00   2.349244e-08   5.289788e-01   30
  1.014287e+00   2.512286e+00   1.019306e-04   2.988862e-01   72
  1.015080e+00   1.109601e+00   1.198844e-08   2.412528e-01   24
  1.016098e+00   2.622418e+00   1.510864e-04   2.992873e-01   56
  1.017238e+00   2.569691e+00   2.156079e-04   2.959076e-01   96
  1.018603e+00   2.361486e+00   2.380838e-04   1.974932e-01   144
  1.019655e+00   2.823577e+00   1.351747e-04   3.287444e-01   54
  1.021183e+00   2.566213e+00   2.025059e-04   2.877453e-01   108
  1.022721e+00   4.260273e+00   1.072260e-04   6.240526e-01   48
  1.024186e+00   3.183587e+00   4.037400e-04   5.556920e-01   72
